Machine,number of colors,Type of printing,laminate,glue killer,paper width,sending,color
JNAS-2,4,convex intermittent,0,0,155,106,2
JNAS-2,4,convex intermittent,0,0,155,146,2
SL-4,1,convex intermittent,0,0,90,78,3
SL-4,2,convex intermittent,0,0,155,114,3
SL-4,2,convex intermittent,0,0,150,66,3
SL-4,1,convex intermittent,0,0,70,56,3
SL-4,1,convex intermittent,0,0,70,56,3
SL-4,2,convex intermittent,0,0,160,86,3
SL-4,3,convex intermittent,0,0,160,125,3
SL-4,2,convex intermittent,0,0,85,80,3
SL-4,1,convex intermittent,0,0,85,80,3
SL-5,1,convex intermittent,0,0,180,45,3
SL-5,1,convex intermittent,0,0,95,106,3
SL-5,1,convex intermittent,0,0,115,84,3
SL-5,1,convex intermittent,0,0,90,63,3
SL-5,2,convex intermittent,0,0,60,60,3
SL-5,1,convex intermittent,0,0,95,46,3
SL-5,2,convex intermittent,0,0,80,54,3
SL-5,1,convex intermittent,0,0,70,92,3
SL-5,2,convex intermittent,0,0,125,100,3
SL-5,2,convex intermittent,0,0,190,156,3
SL-5,2,convex intermittent,0,0,115,84,3
SL-5,2,convex intermittent,0,0,85,76,3
SL-6,1,convex intermittent,0,0,75,96,3
SL-6,1,convex intermittent,0,0,170,73,1
SL-6,1,convex intermittent,0,0,160,126,1
SL-6,1,convex intermittent,0,0,80,106,1
SL-6,1,convex intermittent,0,0,60,65.2,1
SL-6,1,convex intermittent,0,0,85,146,1
SL-6,1,convex intermittent,0,0,80,68,1
SL-6,1,convex intermittent,0,0,185,88,1
SL-6,1,convex intermittent,0,0,165,129,1
SL-6,1,convex intermittent,0,0,160,113,1
SL-6,1,convex intermittent,0,0,145,133,1
SL-6,1,convex intermittent,0,0,110,96,1
SL-6,1,convex intermittent,0,0,80,111,1
SL-6,1,convex intermittent,0,0,65,110,1
SL-6,1,convex intermittent,0,0,55,86,1
SL-7,1,convex intermittent,0,0,95,43,3
SL-7,1,convex intermittent,1,0,85,156,1
SL-7,2,convex intermittent,1,0,60,144,3
SL-7,3,convex intermittent,0,0,135,126,3
SL-7,1,convex intermittent,1,0,135,98,1
SL-7,1,convex intermittent,1,0,130,108,1
SL-7,3,convex intermittent,1,0,175,118,3
SL-7,2,convex intermittent,1,0,60,52,3
SL-7,1,convex intermittent,1,0,55,46,3
SL-8,4,convex intermittent,0,0,185,99,2
SL-8,4,convex intermittent,0,0,180,129,2
SL-8,4,convex intermittent,0,0,180,129,2
SL-8,5,convex intermittent,0,0,150,114,4
SL-8,4,convex intermittent,0,0,140,102,2
SL-8,3,convex intermittent,0,0,140,74,2
SL-8,2,convex intermittent,1,0,135,72,2
SL-8,4,convex intermittent,0,0,105,110,2
SL-8,4,convex intermittent,0,0,105,110,4
SL-8,3,convex intermittent,1,0,105,112,2
SL-8,4,convex intermittent,0,0,105,129,2
SL-9,2,convex intermittent,0,0,85,90,3
SL-9,1,convex intermittent,0,0,90,69,3
SL-9,1,convex intermittent,0,0,105,93,3
SL-9,1,convex intermittent,0,0,65,68,3
SL-9,5,convex intermittent,0,0,145,83,3
SL-9,3,convex intermittent,0,0,185,123,3
SL-9,2,convex intermittent,0,0,70,86,3
SL-9,3,convex intermittent,0,0,110,84,3
SL-9,4,convex intermittent,0,0,180,129,3
SL-9,1,convex intermittent,0,0,60,96,3
SL-10,3,convex intermittent,0,0,210,146,3
SL-10,2,convex intermittent,0,0,95,129,3
SL-10,3,convex intermittent,0,0,70,66,3
SL-10,1,convex intermittent,1,0,115,126,1
SL-10,4,convex intermittent,0,0,115,106,3
SL-10,1,convex intermittent,1,0,140,86,1
SL-10,1,convex intermittent,1,0,140,86,1
SL-10,4,convex intermittent,0,0,80,146,3
JNAS-1,3,convex intermittent,0,0,145,233,3
JNAS-1,3,convex intermittent,0,0,250,113,3
JNAS-1,2,convex intermittent,0,0,210,183,3
JNAS-1,3,convex intermittent,0,0,230,96,3
JNAS-1,3,convex intermittent,0,0,245,142,3
JNAS-1,5,convex intermittent,0,0,270,196,3
JNAS-1,5,convex intermittent,0,0,240,172,3
GL-2,3,convex intermittent,0,0,180,83,2
GL-2,3,convex intermittent,0,0,225,86,2
GL-2,4,convex intermittent,0,0,230,129,2
GL-2,4,convex intermittent,0,0,230,129,2
GL-2,4,convex intermittent,0,0,315,146,2
FX-2,4,intermittent off,0,0,150,203,2
FX-2,4,intermittent off,0,0,135,136,2
FX-3,4,intermittent off,0,0,160,163,2
FX-3,4,intermittent off,0,0,200,153,2
FX-3,4,intermittent off,0,0,200,153,2
FX-3,5,intermittent off,0,0,160,183,3
SMP-1,1,convex intermittent,1,0,200,154,1
SMP-1,1,convex intermittent,0,1,115,83,4
SMP-1,2,convex intermittent,0,1,110,123,4
SMP-2,1,convex intermittent,0,0,80,64,2
SMP-2,1,convex intermittent,0,0,160,169,2
SMP-2,2,convex intermittent,0,0,175,96,2
SMP-2,2,convex intermittent,0,0,210,95,4
SMP-3,1,convex intermittent,0,0,175,106,2
SMP-3,1,convex intermittent,0,0,220,136,2
SMP-3,1,convex intermittent,0,0,150,192,2
SMP-3,1,convex intermittent,0,0,105,96,1
SMP-4auto,1,convex intermittent,0,0,215,153,2
SMP-4auto,1,convex intermittent,0,0,215,163,3
SMP-4auto,1,convex intermittent,0,0,200,99,2
JNAS-2,1,convex intermittent,0,0,125,114,2
JNAS-2,1,convex intermittent,0,0,125,114,2
JNAS-2,1,convex intermittent,0,0,125,114,2
JNAS-2,1,convex intermittent,0,0,220,153,2
SL-4,1,convex intermittent,0,0,160,63,3
SL-4,1,convex intermittent,0,0,115,150,3
SL-4,1,convex intermittent,0,0,115,150,3
SL-4,1,convex intermittent,0,0,75,86,3
SL-4,1,convex intermittent,0,0,95,86,3
SL-4,4,convex intermittent,0,0,80,66,3
SL-4,1,convex intermittent,0,0,55,58,3
SL-4,4,convex intermittent,0,0,170,106,3
SL-4,4,convex intermittent,0,0,100,66,3
SL-5,5,convex intermittent,0,0,115,84,3
SL-5,4,convex intermittent,0,0,130,66,3
SL-5,4,convex intermittent,0,0,155,106,3
SL-5,4,convex intermittent,0,0,95,129,3
SL-5,4,convex intermittent,0,0,115,116,3
SL-5,4,convex intermittent,0,0,90,90,3
SL-5,3,convex intermittent,0,0,115,76,3
SL-5,4,convex intermittent,0,0,115,106,1
SL-5,4,convex intermittent,0,0,85,76,3
SL-5,4,convex intermittent,0,0,85,114,3
SL-5,3,convex intermittent,0,0,75,92,3
SL-5,3,convex intermittent,0,0,65,70,3
SL-5,3,convex intermittent,0,0,180,76,3
SL-6,2,convex intermittent,0,0,185,81,1
SL-6,4,convex intermittent,0,0,220,86,1
SL-6,4,convex intermittent,0,0,190,90,1
SL-6,4,convex intermittent,0,0,100,120,1
SL-6,2,convex intermittent,0,0,95,72,1
SL-6,3,convex intermittent,0,0,190,135,1
SL-6,3,convex intermittent,0,0,190,135,1
SL-6,3,convex intermittent,0,0,190,90,1
SL-6,2,convex intermittent,0,0,145,66,1
SL-6,1,convex intermittent,0,0,105,96,1
SL-6,1,convex intermittent,0,0,100,120,1
SL-6,1,convex intermittent,0,0,110,103,1
SL-6,1,convex intermittent,0,0,115,146,1
SL-7,1,convex intermittent,0,0,200,138,3
SL-7,2,convex intermittent,1,0,115,106,1
SL-7,2,convex intermittent,0,0,100,113,2
SL-7,2,convex intermittent,0,0,100,123,2
SL-8,1,convex intermittent,0,0,205,78,2
SL-8,1,convex intermittent,0,0,150,106,2
SL-8,1,convex intermittent,0,0,140,102,2
SL-8,5,convex intermittent,0,0,115,132,2
SL-8,5,convex intermittent,0,0,115,99,2
SL-8,5,convex intermittent,0,0,115,114,2
SL-8,3,convex intermittent,0,0,115,69,2
SL-8,1,convex intermittent,0,0,105,126,2
SL-8,3,convex intermittent,0,0,95,96,2
SL-8,3,convex intermittent,0,0,95,56,2
SL-8,4,convex intermittent,1,0,75,66,2
SL-8,4,convex intermittent,0,0,65,92,2
SL-9,1,convex intermittent,0,0,105,102,3
SL-9,4,convex intermittent,0,0,90,90,3
SL-9,4,convex intermittent,0,0,210,72,3
SL-9,4,convex intermittent,0,0,210,72,3
SL-9,4,convex intermittent,0,0,155,152,3
SL-9,4,convex intermittent,0,0,75,66,3
SL-9,4,convex intermittent,0,0,105,56,3
SL-9,4,convex intermittent,0,0,210,144,3
SL-10,4,convex intermittent,1,0,165,143,3
SL-10,4,convex intermittent,0,0,85,114,3
SL-10,4,convex intermittent,1,0,75,63,3
SL-10,4,convex intermittent,1,0,95,106,1
SL-10,4,convex intermittent,1,0,95,106,1
SL-10,4,convex intermittent,1,0,95,106,1
SL-10,4,convex intermittent,1,0,150,83,1
SL-10,4,convex intermittent,0,0,160,106,3
SL-10,4,convex intermittent,0,0,160,106,3
SL-10,2,convex intermittent,0,0,105,103,3
SL-10,1,convex intermittent,0,0,105,103,3
SL-10,1,convex intermittent,0,0,105,103,3
SL-10,1,convex intermittent,0,0,160,106,3
JNAS-1,5,convex intermittent,0,0,280,172,4
JNAS-1,5,convex intermittent,0,0,280,172,4
JNAS-1,5,convex intermittent,0,0,185,165,2
JNAS-1,3,convex intermittent,0,0,290,194,3
JNAS-1,1,convex intermittent,0,0,205,115,3
JNAS-1,3,convex intermittent,0,0,185,155,3
JNAS-1,3,convex intermittent,0,0,185,155,3
GL-2,4,convex intermittent,0,0,190,105,2
GL-2,4,convex intermittent,0,0,255,132,2
GL-2,1,convex intermittent,0,0,240,100,1
GL-2,4,convex intermittent,0,0,230,128,2
GL-2,4,convex intermittent,0,0,195,114,2
GL-2,4,convex intermittent,0,0,195,114,2
GL-2,4,convex intermittent,0,0,195,114,2
GL-2,4,convex intermittent,0,0,195,114,2
GL-2,4,convex intermittent,0,0,195,114,2
GL-2,4,convex intermittent,0,0,195,114,2
GL-2,4,convex intermittent,0,0,195,114,2
FX-2,4,intermittent off,0,0,135,148,3
FX-2,4,intermittent off,0,0,135,148,3
FX-2,4,intermittent off,0,0,135,148,3
FX-2,4,intermittent off,0,0,115,128,3
FX-3,4,intermittent off,0,0,125,158,2
FX-3,4,intermittent off,0,0,85,163,2
FX-3,4,intermittent off,0,0,170,143,2
FX-3,4,intermittent off,0,0,170,148,2
SMP-1,6,convex intermittent,1,1,105,141,4
SMP-1,3,convex intermittent,1,0,230,193,3
SMP-1,2,convex intermittent,0,0,230,86,3
SMP-2,6,convex intermittent,0,0,270,152,3
SMP-3,4,convex intermittent,0,0,215,106,2
SMP-3,3,convex intermittent,0,0,145,129,3
SMP-4auto,4,convex intermittent,0,0,190,88,2
SMP-4auto,4,convex intermittent,0,0,190,163,2
SMP-4auto,4,convex intermittent,0,0,215,168,2
SMP-4auto,3,convex intermittent,0,0,155,152,2
CS-1,1,convex intermittent,0,0,90,87,1
CS-1,1,convex intermittent,0,0,70,69,1
CS-1,1,convex intermittent,1,0,65,64,3
CS-1,1,convex intermittent,0,0,75,35,1
JNAS-2,4,convex intermittent,0,0,135,129,2
JNAS-2,4,convex intermittent,0,0,210,144,2
JNAS-2,4,convex intermittent,0,0,210,144,2
JNAS-2,4,convex intermittent,0,0,210,144,2
SL-4,2,convex intermittent,0,0,60,60,3
SL-4,2,convex intermittent,0,0,175,126,3
SL-4,1,convex intermittent,0,0,180,135,3
SL-4,1,convex intermittent,0,0,180,103,1
SL-4,1,convex intermittent,0,0,180,103,1
SL-4,1,convex intermittent,0,0,210,95,3
SL-4,3,convex intermittent,0,0,90,114,3
SL-4,2,convex intermittent,0,0,60,66,3
SL-5,1,convex intermittent,0,0,140,126,3
SL-5,1,convex intermittent,0,0,120,74,3
SL-5,2,convex intermittent,0,0,115,86,3
SL-5,1,convex intermittent,0,0,135,132,3
SL-5,2,convex intermittent,0,0,175,66,3
SL-5,2,convex intermittent,0,0,90,76,3
SL-5,2,convex intermittent,0,0,90,76,3
SL-5,2,convex intermittent,0,0,90,76,3
SL-5,2,convex intermittent,0,0,105,123,3
SL-5,1,convex intermittent,0,0,135,76,3
SL-5,2,convex intermittent,0,0,120,76,3
SL-5,1,convex intermittent,0,0,80,69,1
SL-5,2,convex intermittent,0,0,60,66,3
SL-6,1,convex intermittent,0,0,165,103,1
SL-6,1,convex intermittent,0,0,155,58,1
SL-6,1,convex intermittent,0,0,155,58,1
SL-6,1,convex intermittent,0,0,155,58,1
SL-6,1,convex intermittent,0,0,155,58,1
SL-6,1,convex intermittent,0,0,120,88,1
SL-6,1,convex intermittent,0,0,100,90,1
SL-6,1,convex intermittent,0,0,100,53,1
SL-6,1,convex intermittent,0,0,100,53,1
SL-6,1,convex intermittent,0,0,100,53,1
SL-6,1,convex intermittent,0,0,190,88,1
SL-6,1,convex intermittent,0,0,115,68,3
SL-6,1,convex intermittent,0,0,115,68,3
SL-6,1,convex intermittent,0,0,115,68,3
SL-6,1,convex intermittent,0,0,195,106,1
SL-6,1,convex intermittent,0,0,195,106,1
SL-6,1,convex intermittent,0,0,180,78,1
SL-6,1,convex intermittent,0,0,95,78,3
SL-6,1,convex intermittent,0,0,95,78,3
SL-6,1,convex intermittent,0,0,95,78,3
SL-6,1,convex intermittent,0,0,95,78,3
SL-6,1,convex intermittent,0,0,75,126,3
SL-7,4,convex intermittent,0,0,160,112,4
SL-7,4,convex intermittent,0,0,100,114,2
SL-7,3,convex intermittent,0,0,135,129,2
SL-7,1,convex intermittent,1,0,95,84,1
SL-7,1,convex intermittent,1,0,170,72,1
SL-7,1,convex intermittent,1,0,80,106,1
SL-7,2,convex intermittent,1,0,60,97,3
SL-7,3,convex intermittent,0,0,95,98,3
SL-8,4,convex intermittent,0,0,115,102,2
SL-8,4,convex intermittent,0,0,195,114,2
SL-8,4,convex intermittent,0,0,175,66,2
SL-8,4,convex intermittent,0,0,165,114,2
SL-8,4,convex intermittent,0,0,150,136,2
SL-8,4,convex intermittent,0,0,165,116,4
SL-8,5,convex intermittent,0,0,165,136,4
SL-9,3,convex intermittent,0,0,75,66,3
SL-9,3,convex intermittent,0,0,175,140,3
SL-9,1,convex intermittent,0,0,175,103,3
SL-9,1,convex intermittent,0,0,185,103,3
SL-9,1,convex intermittent,0,0,85,146,3
SL-9,3,convex intermittent,0,0,200,133,3
SL-9,1,convex intermittent,0,0,155,144,3
SL-9,1,convex intermittent,0,0,100,86,3
SL-10,2,convex intermittent,0,0,80,87,3
SL-10,3,convex intermittent,0,0,65,90,3
SL-10,3,convex intermittent,0,0,180,103,3
SL-10,3,convex intermittent,0,0,105,86,3
SL-10,2,convex intermittent,1,0,95,106,3
SL-10,1,convex intermittent,1,0,95,86,1
SL-10,2,convex intermittent,0,0,105,81,3
SL-10,2,convex intermittent,0,0,115,116,3
SL-10,2,convex intermittent,0,0,115,116,3
JNAS-1,4,convex intermittent,0,0,205,199,3
JNAS-1,5,convex intermittent,0,0,205,199,3
JNAS-1,3,convex intermittent,0,0,130,153,3
JNAS-1,6,convex intermittent,0,0,330,213,3
JNAS-1,1,convex intermittent,0,0,330,220,1
JNAS-1,1,convex intermittent,0,0,260,246,1
JNAS-1,1,convex intermittent,0,0,260,246,1
JNAS-1,1,convex intermittent,0,0,260,246,1
JNAS-1,1,convex intermittent,0,0,260,246,1
JNAS-1,1,convex intermittent,0,0,260,246,1
JNAS-1,1,convex intermittent,0,0,260,246,1
JNAS-1,1,convex intermittent,0,0,260,246,1
JNAS-1,1,convex intermittent,0,0,260,246,1
JNAS-1,1,convex intermittent,0,0,260,246,1
JNAS-1,1,convex intermittent,0,0,260,246,1
JNAS-1,1,convex intermittent,0,0,260,246,1
GL-2,4,convex intermittent,0,0,195,114,2
GL-2,4,convex intermittent,0,0,195,114,2
GL-2,4,convex intermittent,0,0,195,114,2
GL-2,4,convex intermittent,0,0,275,120,2
GL-2,1,convex intermittent,0,0,240,88,3
GL-2,4,convex intermittent,0,0,215,112,4
FX-2,6,intermittent off,0,0,170,202.5,4
FX-2,2,intermittent off,0,0,110,126,3
FX-3,3,intermittent off,0,0,150,203,4
FX-3,4,intermittent off,0,0,150,203,4
FX-3,4,intermittent off,0,0,150,203,4
FX-3,4,intermittent off,0,0,150,203,2
SMP-1,4,convex intermittent,0,0,275,266,3
SMP-1,1,convex intermittent,0,1,250,100,3
SMP-1,1,convex intermittent,0,1,250,100,3
SMP-1,1,convex intermittent,0,1,105,232,3
SMP-1,1,convex intermittent,0,1,105,232,3
SMP-1,1,convex intermittent,0,1,105,222,3
SMP-1,1,convex intermittent,0,1,105,222,3
SMP-2,3,convex intermittent,0,0,230,152,3
SMP-2,4,convex intermittent,0,0,110,178,2
SMP-2,4,convex intermittent,0,0,150,119,2
SMP-2,3,convex intermittent,0,0,220,133,2
SMP-2,4,convex intermittent,0,0,215,216,2
SMP-3,2,convex intermittent,0,0,100,92,1
SMP-3,2,convex intermittent,0,0,100,86,3
SMP-3,1,convex intermittent,1,0,260,158,1
SMP-3,1,convex intermittent,0,0,225,219,1
SMP-4auto,4,convex intermittent,0,0,155,152,2
SMP-4auto,4,convex intermittent,0,0,190,133,2
SMP-4auto,4,convex intermittent,0,0,172,120,2
SMP-4auto,4,convex intermittent,0,0,135,124,2
SMP-4auto,4,convex intermittent,0,0,105,90,2
JNAS-2,4,convex intermittent,0,0,210,144,2
JNAS-2,4,convex intermittent,0,0,210,144,2
JNAS-2,4,convex intermittent,0,0,195,75,2
JNAS-2,3,convex intermittent,0,0,175,93,2
SL-4,1,convex intermittent,0,0,175,64,3
SL-4,2,convex intermittent,0,0,125,69,3
SL-4,1,convex intermittent,0,0,105,144,3
SL-4,1,convex intermittent,0,0,130,88,1
SL-4,1,convex intermittent,0,0,75,82,3
SL-4,1,convex intermittent,0,0,105,54,3
SL-4,3,convex intermittent,0,0,115,115,3
SL-4,3,convex intermittent,0,0,115,159,3
SL-4,2,convex intermittent,0,0,80,66,3
SL-4,2,convex intermittent,0,0,60,69,3
SL-5,1,convex intermittent,0,0,100,69,3
SL-5,2,convex intermittent,0,0,115,66,3
SL-5,1,convex intermittent,0,0,80,95,3
SL-5,2,convex intermittent,0,0,150,56,2
SL-5,2,convex intermittent,0,0,80,68,3
SL-5,2,convex intermittent,0,0,80,68,3
SL-5,2,convex intermittent,0,0,115,90,3
SL-5,1,convex intermittent,0,0,115,106,1
SL-5,1,convex intermittent,0,0,135,156,1
SL-5,1,convex intermittent,0,0,60,68,3
SL-6,1,convex intermittent,0,0,75,116,3
SL-6,1,convex intermittent,0,0,115,66,1
SL-6,1,convex intermittent,0,0,155,66,1
SL-6,1,convex intermittent,0,0,75,116,3
SL-6,1,convex intermittent,0,0,90,92,1
SL-6,1,convex intermittent,0,0,90,132,1
SL-6,1,convex intermittent,0,0,100,76,3
SL-6,1,convex intermittent,0,0,135,66,1
SL-6,1,convex intermittent,0,0,135,66,1
SL-6,1,convex intermittent,0,0,135,66,1
SL-6,1,convex intermittent,0,0,135,66,1
SL-6,1,convex intermittent,0,0,135,66,1
SL-6,1,convex intermittent,0,0,135,133,1
SL-6,1,convex intermittent,0,0,100,85,1
SL-6,1,convex intermittent,0,0,115,68,3
SL-6,1,convex intermittent,0,0,90,76,1
SL-6,1,convex intermittent,0,0,130,96,1
SL-6,1,convex intermittent,0,0,190,133,1
SL-7,3,convex intermittent,1,0,135,69,3
SL-7,3,convex intermittent,1,0,135,69,3
SL-7,4,convex intermittent,0,0,105,126,2
SL-7,4,convex intermittent,0,0,105,126,2
SL-7,4,convex intermittent,0,0,105,126,2
SL-7,4,convex intermittent,0,0,105,126,2
SL-7,4,convex intermittent,0,0,105,126,2
SL-7,4,convex intermittent,0,0,175,132,2
SL-7,4,convex intermittent,0,0,160,115,2
SL-7,4,convex intermittent,0,0,180,112,2
SL-8,3,convex intermittent,0,0,195,112,2
SL-8,4,convex intermittent,0,0,150,86,2
SL-8,4,convex intermittent,0,0,150,86,2
SL-8,4,convex intermittent,0,0,150,86,2
SL-8,4,convex intermittent,0,0,150,86,2
SL-8,4,convex intermittent,0,0,150,132,2
SL-8,4,convex intermittent,0,0,115,66,2
SL-8,4,convex intermittent,0,0,115,99,2
SL-8,4,convex intermittent,0,0,115,106,2
SL-8,4,convex intermittent,0,0,175,140,2
SL-8,4,convex intermittent,0,0,200,92,2
SL-9,3,convex intermittent,0,0,100,146,3
SL-9,1,convex intermittent,0,0,70,84,3
SL-9,1,convex intermittent,0,0,70,84,3
SL-9,1,convex intermittent,0,0,110,78,3
SL-9,2,convex intermittent,0,0,85,132,3
SL-9,3,convex intermittent,0,0,175,106,3
SL-9,3,convex intermittent,0,0,175,106,3
SL-9,2,convex intermittent,0,0,70,68,3
SL-9,1,convex intermittent,0,0,90,76,3
SL-9,1,convex intermittent,0,0,90,76,3
SL-9,3,convex intermittent,0,0,150,142,3
SL-10,4,convex intermittent,0,0,85,99,3
SL-10,3,convex intermittent,0,0,135,96,3
SL-10,1,convex intermittent,0,0,110,129,3
SL-10,1,convex intermittent,0,0,105,156,3
SL-10,1,convex intermittent,0,0,105,156,3
SL-10,1,convex intermittent,0,0,105,156,3
SL-10,3,convex intermittent,0,0,175,86,3
SL-10,3,convex intermittent,0,0,150,146,3
SL-10,3,convex intermittent,0,0,115,99,3
SL-10,2,convex intermittent,0,0,145,82,3
JNAS-1,1,convex intermittent,0,0,270,146,1
JNAS-1,1,convex intermittent,0,0,270,146,1
JNAS-1,1,convex intermittent,0,0,210,160,1
JNAS-1,3,convex intermittent,0,0,270,126,3
JNAS-1,2,convex intermittent,0,0,150,203,3
JNAS-1,3,convex intermittent,0,0,235,173,3
JNAS-1,1,convex intermittent,0,0,135,176,1
