Machine,number of colors,Type of printing,laminate,glue killer,paper width,sending
SMP-1,4,convex intermittent,0,0,150,203
SMP-1,4,convex intermittent,0,0,150,203
SMP-1,4,convex intermittent,0,0,185,158
SMP-2,4,convex intermittent,0,0,205,168
SMP-2,4,convex intermittent,0,0,145,106
SMP-2,4,convex intermittent,0,0,145,106
SMP-2,5,convex intermittent,1,0,265,150
SMP-3,4,convex intermittent,0,0,260,189
SMP-3,4,convex intermittent,0,0,135,122
SMP-4auto,4,convex intermittent,0,0,215,173
SMP-4auto,4,convex intermittent,0,0,180,146
CS-1,1,convex intermittent,0,0,50,56
CS-1,1,convex intermittent,0,0,105,67
CS-1,1,convex intermittent,0,0,50,52
CS-1,1,convex intermittent,0,0,120,90
JNAS-2,4,convex intermittent,0,0,170,144
JNAS-2,4,convex intermittent,0,0,170,144
JNAS-2,4,convex intermittent,0,0,140,99
JNAS-2,4,convex intermittent,0,0,105,153
SL-4,1,convex intermittent,0,0,180,86
SL-4,1,convex intermittent,0,0,170,82
SL-4,2,convex intermittent,0,0,130,108
SL-4,2,convex intermittent,0,0,190,144
SL-4,2,convex intermittent,0,0,130,146
SL-4,1,convex intermittent,0,0,75,50
SL-4,2,convex intermittent,0,0,90,96
SL-4,1,convex intermittent,0,0,80,114
SL-4,2,convex intermittent,0,0,95,129
SL-4,2,convex intermittent,0,0,140,93
SL-5,2,convex intermittent,0,0,220,115
SL-5,2,convex intermittent,0,0,220,115
SL-5,2,convex intermittent,0,0,220,115
SL-5,2,convex intermittent,0,0,220,115
SL-5,2,convex intermittent,0,0,165,60
SL-5,2,convex intermittent,0,0,165,60
SL-5,2,convex intermittent,0,0,165,60
SL-5,2,convex intermittent,0,0,165,60
SL-5,2,convex intermittent,0,0,165,60
SL-5,1,convex intermittent,0,0,80,72
SL-5,1,convex intermittent,0,0,80,72
SL-5,1,convex intermittent,0,0,90,114
SL-5,2,convex intermittent,0,0,70,114
SL-5,2,convex intermittent,0,0,160,95
SL-5,1,convex intermittent,0,0,60,66
SL-5,2,convex intermittent,0,0,135,90
SL-5,1,convex intermittent,0,0,150,130
SL-6,1,convex intermittent,0,0,140,66
SL-6,1,convex intermittent,0,0,135,129
SL-6,1,convex intermittent,0,0,120,126
SL-6,1,convex intermittent,0,0,120,126
SL-6,1,convex intermittent,0,0,120,126
SL-6,1,convex intermittent,0,0,115,66
SL-6,1,convex intermittent,0,0,105,92
SL-6,1,convex intermittent,0,0,95,132
SL-6,1,convex intermittent,0,0,135,123
SL-6,1,convex intermittent,0,0,135,103
SL-6,1,convex intermittent,0,0,160,95
SL-6,1,convex intermittent,0,0,90,52
SL-6,1,convex intermittent,0,0,125,116
SL-6,1,convex intermittent,0,0,200,103
SL-6,1,convex intermittent,0,0,170,103
SL-6,1,convex intermittent,0,0,135,112
SL-6,1,convex intermittent,0,0,95,115
SL-6,1,convex intermittent,0,0,95,115
SL-7,1,convex intermittent,0,0,95,66
SL-7,1,convex intermittent,0,0,95,66
SL-7,1,convex intermittent,0,0,95,66
SL-7,1,convex intermittent,0,0,100,54
SL-7,4,convex intermittent,0,0,140,106
SL-7,5,convex intermittent,0,0,125,126
SL-7,2,convex intermittent,0,0,55,92
SL-7,4,convex intermittent,0,0,115,106
SL-7,3,convex intermittent,0,0,115,106
SL-7,2,convex intermittent,1,0,105,73
SL-7,1,convex intermittent,1,0,75,63
SL-8,4,convex intermittent,0,0,130,146
SL-8,5,convex intermittent,0,0,120,140
SL-8,4,convex intermittent,0,0,115,114
SL-8,4,convex intermittent,0,0,115,114
SL-8,4,convex intermittent,0,0,115,114
SL-8,4,convex intermittent,0,0,105,133
SL-8,4,convex intermittent,0,0,100,132
SL-8,4,convex intermittent,0,0,90,86
SL-8,3,convex intermittent,0,0,140,128
SL-8,3,convex intermittent,0,0,115,113
SL-9,1,convex intermittent,0,0,60,86
SL-9,3,convex intermittent,0,0,75,99
SL-9,3,convex intermittent,0,0,170,153
SL-9,4,convex intermittent,0,0,180,106
SL-9,4,convex intermittent,0,0,75,126
SL-9,3,convex intermittent,0,0,90,76
SL-9,2,convex intermittent,0,0,90,76
SL-9,2,convex intermittent,0,0,90,76
SL-10,2,convex intermittent,0,0,115,146
SL-10,3,convex intermittent,0,0,75,66
SL-10,3,convex intermittent,0,0,115,152
SL-10,1,convex intermittent,1,0,140,99
SL-10,2,convex intermittent,0,0,155,103
SL-10,2,convex intermittent,0,0,80,90
SL-10,3,convex intermittent,0,0,105,133
JNAS-1,1,convex intermittent,0,0,260,190
JNAS-1,4,convex intermittent,0,0,170,193
JNAS-1,1,convex intermittent,0,0,285,216
JNAS-1,1,convex intermittent,0,0,180,171
JNAS-1,2,convex intermittent,0,0,240,158
JNAS-1,2,convex intermittent,0,0,225,159
GL-2,4,convex intermittent,0,0,210,112
GL-2,4,convex intermittent,0,0,175,159
GL-2,4,convex intermittent,0,0,115,159
GL-2,4,convex intermittent,0,0,285,143
FX-1,4,intermittent off,0,0,150,203
FX-3,4,intermittent off,0,0,150,111
FX-3,4,intermittent off,0,0,135,174
FX-3,4,intermittent off,0,0,135,174
FX-3,4,intermittent off,0,0,170,103
FX-3,5,intermittent off,0,0,170,146
SMP-1,1,convex intermittent,0,1,120,122
SMP-1,1,convex intermittent,1,0,165,133
SMP-1,5,convex intermittent,0,0,220,183
SMP-2,5,convex intermittent,0,0,220,186
SMP-2,1,convex intermittent,0,0,140,193
SMP-2,4,convex intermittent,0,0,175,153
SMP-2,4,convex intermittent,0,0,170,118
SMP-2,4,convex intermittent,0,0,170,118
SMP-2,4,convex intermittent,0,0,170,118
SMP-3,4,convex intermittent,0,0,225,109
SMP-4auto,4,convex intermittent,0,0,220,165
SMP-4auto,4,convex intermittent,0,0,215,173
SMP-4auto,4,convex intermittent,0,0,155,152
JNAS-2,4,convex intermittent,0,0,145,118
JNAS-2,4,convex intermittent,0,0,115,136
JNAS-2,4,convex intermittent,0,0,170,160
SL-4,1,convex intermittent,0,0,200,98
SL-4,2,convex intermittent,0,0,185,106
SL-4,2,convex intermittent,0,0,150,105
SL-4,1,convex intermittent,0,0,95,153
SL-4,2,convex intermittent,0,0,80,69.5
SL-4,3,convex intermittent,0,0,75,99
SL-4,1,convex intermittent,0,0,115,66
SL-4,2,convex intermittent,0,0,105,86
SL-4,2,convex intermittent,0,0,140,129
SL-4,3,convex intermittent,0,0,155,103
SL-4,1,convex intermittent,0,0,145,98
SL-4,2,convex intermittent,0,0,180,84
SL-5,1,convex intermittent,0,0,115,92
SL-5,1,convex intermittent,0,0,115,92
SL-5,2,convex intermittent,0,0,100,50
SL-5,1,convex intermittent,0,0,95,99
SL-5,1,convex intermittent,0,0,75,66
SL-5,1,convex intermittent,0,0,80,46
SL-5,1,convex intermittent,0,0,105,62
SL-5,2,convex intermittent,0,0,85,75
SL-5,2,convex intermittent,0,0,100,78
SL-5,2,convex intermittent,0,0,65,66
SL-5,2,convex intermittent,0,0,65,66
SL-5,2,convex intermittent,0,0,65,66
SL-5,2,convex intermittent,0,0,65,66
SL-5,2,convex intermittent,0,0,65,66
SL-5,2,convex intermittent,0,0,65,66
SL-5,2,convex intermittent,0,0,65,66
SL-5,2,convex intermittent,0,0,220,115
SL-5,2,convex intermittent,0,0,220,115
SL-5,2,convex intermittent,0,0,220,115
SL-6,1,convex intermittent,0,0,175,83
SL-6,1,convex intermittent,0,0,175,132
SL-6,1,convex intermittent,0,0,185,88
SL-6,1,convex intermittent,0,0,120,60
SL-6,1,convex intermittent,0,0,172,103
SL-6,1,convex intermittent,0,0,115,66
SL-6,1,convex intermittent,0,0,115,66
SL-6,1,convex intermittent,0,0,120,86
SL-6,1,convex intermittent,0,0,115,110
SL-6,1,convex intermittent,0,0,99,72
SL-6,1,convex intermittent,0,0,145,88
SL-6,1,convex intermittent,0,0,60,108
SL-7,3,convex intermittent,0,0,95,66
SL-7,4,convex intermittent,0,0,125,114
SL-7,1,convex intermittent,1,0,90,83
SL-7,2,convex intermittent,1,0,95,86
SL-7,1,convex intermittent,1,0,85,72
SL-7,3,convex intermittent,0,0,95,74
SL-7,1,convex intermittent,0,0,105,75
SL-7,2,convex intermittent,0,0,195,111
SL-8,4,convex intermittent,0,0,180,53
SL-8,4,convex intermittent,0,0,175,86
SL-8,4,convex intermittent,0,0,150,136
SL-8,4,convex intermittent,0,0,125,113
SL-8,4,convex intermittent,0,0,115,106
SL-8,4,convex intermittent,0,0,115,133
SL-8,4,convex intermittent,0,0,90,146
SL-8,4,convex intermittent,0,0,75,99
SL-8,4,convex intermittent,0,0,155,100
SL-10,2,convex intermittent,0,0,105,96
SL-10,2,convex intermittent,0,0,105,96
SL-10,2,convex intermittent,0,0,105,96
SL-10,2,convex intermittent,0,0,105,96
SL-10,2,convex intermittent,0,0,110,70
SL-10,2,convex intermittent,0,0,75,65
SL-10,3,convex intermittent,0,0,115,112
SL-10,3,convex intermittent,0,0,95,99
SL-10,2,convex intermittent,0,0,85,74
SL-10,3,convex intermittent,0,0,115,83
JNAS-1,5,convex intermittent,0,0,205,151
JNAS-1,3,convex intermittent,0,0,265,126
JNAS-1,3,convex intermittent,0,0,255,126
JNAS-1,1,convex intermittent,0,0,260,190
GL-2,1,convex intermittent,0,0,145,252
GL-2,2,convex intermittent,0,0,345,165
FX-1,4,intermittent off,0,0,180,186
FX-1,4,intermittent off,0,0,120,140
FX-3,4,intermittent off,0,0,185,163
FX-3,4,intermittent off,0,0,185,163
FX-3,4,intermittent off,0,0,120,106
FX-3,4,intermittent off,0,0,120,106
FX-3,4,intermittent off,0,0,120,205
SMP-1,1,convex intermittent,0,1,250,100
SMP-1,1,convex intermittent,0,1,250,100
SMP-1,1,convex intermittent,0,1,102,232
SMP-1,1,convex intermittent,0,1,102,232
SMP-1,1,convex intermittent,0,1,105,222
SMP-1,1,convex intermittent,0,1,105,222
SMP-1,1,convex intermittent,0,1,120,122
SMP-2,4,convex intermittent,0,0,215,200
SMP-2,4,convex intermittent,0,0,130,163
SMP-2,4,convex intermittent,0,0,185,106
SMP-2,4,convex intermittent,0,0,135,122
SMP-3,4,convex intermittent,0,0,280,106
SMP-3,4,convex intermittent,0,0,220,186
SMP-3,4,convex intermittent,0,0,235,96
SMP-4auto,4,convex intermittent,0,0,215,186
SMP-4auto,4,convex intermittent,0,0,145,168
JNAS-2,4,convex intermittent,0,0,160,166
JNAS-2,4,convex intermittent,0,0,155,106
JNAS-2,4,convex intermittent,0,0,155,106
JNAS-2,4,convex intermittent,0,0,155,146
SL-4,1,convex intermittent,0,0,90,78
SL-4,2,convex intermittent,0,0,155,114
SL-4,2,convex intermittent,0,0,150,66
SL-4,1,convex intermittent,0,0,70,56
SL-4,1,convex intermittent,0,0,70,56
SL-4,2,convex intermittent,0,0,160,86
SL-4,3,convex intermittent,0,0,160,125
SL-4,2,convex intermittent,0,0,85,80
SL-4,1,convex intermittent,0,0,85,80
SL-5,1,convex intermittent,0,0,180,45
SL-5,1,convex intermittent,0,0,95,106
SL-5,1,convex intermittent,0,0,115,84
SL-5,1,convex intermittent,0,0,90,63
SL-5,2,convex intermittent,0,0,60,60
SL-5,1,convex intermittent,0,0,95,46
SL-5,2,convex intermittent,0,0,80,54
SL-5,1,convex intermittent,0,0,70,92
SL-5,2,convex intermittent,0,0,125,100
SL-5,2,convex intermittent,0,0,190,156
SL-5,2,convex intermittent,0,0,115,84
SL-5,2,convex intermittent,0,0,85,76
SL-6,1,convex intermittent,0,0,75,96
SL-6,1,convex intermittent,0,0,170,73
SL-6,1,convex intermittent,0,0,160,126
SL-6,1,convex intermittent,0,0,80,106
SL-6,1,convex intermittent,0,0,60,65.2
SL-6,1,convex intermittent,0,0,85,146
SL-6,1,convex intermittent,0,0,80,68
SL-6,1,convex intermittent,0,0,185,88
SL-6,1,convex intermittent,0,0,165,129
SL-6,1,convex intermittent,0,0,160,113
SL-6,1,convex intermittent,0,0,145,133
SL-6,1,convex intermittent,0,0,110,96
SL-6,1,convex intermittent,0,0,80,111
SL-6,1,convex intermittent,0,0,65,110
SL-6,1,convex intermittent,0,0,55,86
SL-7,1,convex intermittent,0,0,95,43
SL-7,1,convex intermittent,1,0,85,156
SL-7,2,convex intermittent,1,0,60,144
SL-7,3,convex intermittent,0,0,135,126
SL-7,1,convex intermittent,1,0,135,98
SL-7,1,convex intermittent,1,0,130,108
SL-7,3,convex intermittent,1,0,175,118
SL-7,2,convex intermittent,1,0,60,52
SL-7,1,convex intermittent,1,0,55,46
SL-8,4,convex intermittent,0,0,185,99
SL-8,4,convex intermittent,0,0,180,129
SL-8,4,convex intermittent,0,0,180,129
SL-8,5,convex intermittent,0,0,150,114
SL-8,4,convex intermittent,0,0,140,102
SL-8,3,convex intermittent,0,0,140,74
SL-8,2,convex intermittent,1,0,135,72
SL-8,4,convex intermittent,0,0,105,110
SL-8,4,convex intermittent,0,0,105,110
SL-8,3,convex intermittent,1,0,105,112
SL-8,4,convex intermittent,0,0,105,129
SL-9,2,convex intermittent,0,0,85,90
SL-9,1,convex intermittent,0,0,90,69
SL-9,1,convex intermittent,0,0,105,93
SL-9,1,convex intermittent,0,0,65,68
SL-9,5,convex intermittent,0,0,145,83
SL-9,3,convex intermittent,0,0,185,123
SL-9,2,convex intermittent,0,0,70,86
SL-9,3,convex intermittent,0,0,110,84
SL-9,4,convex intermittent,0,0,180,129
SL-9,1,convex intermittent,0,0,60,96
SL-10,3,convex intermittent,0,0,210,146
SL-10,2,convex intermittent,0,0,95,129
SL-10,3,convex intermittent,0,0,70,66
SL-10,1,convex intermittent,1,0,115,126
SL-10,4,convex intermittent,0,0,115,106
SL-10,1,convex intermittent,1,0,140,86
SL-10,1,convex intermittent,1,0,140,86
SL-10,4,convex intermittent,0,0,80,146
JNAS-1,3,convex intermittent,0,0,145,233
JNAS-1,3,convex intermittent,0,0,250,113
JNAS-1,2,convex intermittent,0,0,210,183
JNAS-1,3,convex intermittent,0,0,230,96
JNAS-1,3,convex intermittent,0,0,245,142
JNAS-1,5,convex intermittent,0,0,270,196
JNAS-1,5,convex intermittent,0,0,240,172
GL-2,3,convex intermittent,0,0,180,83
GL-2,3,convex intermittent,0,0,225,86
GL-2,4,convex intermittent,0,0,230,129
GL-2,4,convex intermittent,0,0,230,129
GL-2,4,convex intermittent,0,0,315,146
FX-2,4,intermittent off,0,0,150,203
FX-2,4,intermittent off,0,0,135,136
FX-3,4,intermittent off,0,0,160,163
FX-3,4,intermittent off,0,0,200,153
FX-3,4,intermittent off,0,0,200,153
FX-3,5,intermittent off,0,0,160,183
SMP-1,1,convex intermittent,1,0,200,154
SMP-1,6,convex intermittent,0,1,115,83
SMP-1,6,convex intermittent,0,1,110,123
SMP-2,4,convex intermittent,0,0,80,64
SMP-2,4,convex intermittent,0,0,160,169
SMP-2,4,convex intermittent,0,0,175,96
SMP-2,5,convex intermittent,0,0,210,95
SMP-3,4,convex intermittent,0,0,175,106
SMP-3,4,convex intermittent,0,0,220,136
SMP-3,3,convex intermittent,0,0,150,192
SMP-3,1,convex intermittent,0,0,105,96
SMP-4auto,4,convex intermittent,0,0,215,153
SMP-4auto,4,convex intermittent,0,0,215,163
SMP-4auto,4,convex intermittent,0,0,200,99
JNAS-2,4,convex intermittent,0,0,125,114
JNAS-2,4,convex intermittent,0,0,125,114
JNAS-2,4,convex intermittent,0,0,125,114
JNAS-2,3,convex intermittent,0,0,220,153
SL-4,1,convex intermittent,0,0,160,63
SL-4,3,convex intermittent,0,0,115,150
SL-4,3,convex intermittent,0,0,115,150
SL-4,2,convex intermittent,0,0,75,86
SL-4,2,convex intermittent,0,0,95,86
SL-4,3,convex intermittent,0,0,80,66
SL-4,2,convex intermittent,0,0,55,58
SL-4,3,convex intermittent,0,0,170,106
SL-4,2,convex intermittent,0,0,100,66
SL-5,2,convex intermittent,0,0,115,84
SL-5,1,convex intermittent,0,0,130,66
SL-5,1,convex intermittent,0,0,155,106
SL-5,1,convex intermittent,0,0,95,129
SL-5,1,convex intermittent,0,0,115,116
SL-5,2,convex intermittent,0,0,90,90
SL-5,1,convex intermittent,0,0,115,76
SL-5,1,convex intermittent,0,0,115,106
SL-5,2,convex intermittent,0,0,85,76
SL-5,2,convex intermittent,0,0,85,114
SL-5,1,convex intermittent,0,0,75,92
SL-5,1,convex intermittent,0,0,65,70
SL-5,1,convex intermittent,0,0,180,76
SL-6,1,convex intermittent,0,0,185,81
SL-6,1,convex intermittent,0,0,220,86
SL-6,1,convex intermittent,0,0,190,90
SL-6,1,convex intermittent,0,0,100,120
SL-6,1,convex intermittent,0,0,95,72
SL-6,1,convex intermittent,0,0,190,135
SL-6,1,convex intermittent,0,0,190,135
SL-6,1,convex intermittent,0,0,190,90
SL-6,1,convex intermittent,0,0,145,66
SL-6,1,convex intermittent,0,0,105,96
SL-6,1,convex intermittent,0,0,100,120
SL-6,1,convex intermittent,0,0,110,103
SL-6,1,convex intermittent,0,0,115,146
SL-7,4,convex intermittent,0,0,200,138
SL-7,1,convex intermittent,1,0,115,106
SL-7,4,convex intermittent,0,0,100,113
SL-7,4,convex intermittent,0,0,100,123
SL-8,5,convex intermittent,0,0,205,78
SL-8,4,convex intermittent,0,0,150,106
SL-8,4,convex intermittent,0,0,140,102
SL-8,4,convex intermittent,0,0,115,132
SL-8,4,convex intermittent,0,0,115,99
SL-8,4,convex intermittent,0,0,115,114
SL-8,3,convex intermittent,0,0,115,69
SL-8,4,convex intermittent,0,0,105,126
SL-8,4,convex intermittent,0,0,95,96
SL-8,4,convex intermittent,0,0,95,56
SL-8,3,convex intermittent,1,0,75,66
SL-8,3,convex intermittent,0,0,65,92
SL-9,3,convex intermittent,0,0,105,102
SL-9,2,convex intermittent,0,0,90,90
SL-9,4,convex intermittent,0,0,210,72
SL-9,4,convex intermittent,0,0,210,72
SL-9,4,convex intermittent,0,0,155,152
SL-9,2,convex intermittent,0,0,75,66
SL-9,3,convex intermittent,0,0,105,56
SL-9,3,convex intermittent,0,0,210,144
SL-10,3,convex intermittent,1,0,165,143
SL-10,2,convex intermittent,0,0,85,114
SL-10,1,convex intermittent,1,0,75,63
SL-10,1,convex intermittent,1,0,95,106
SL-10,1,convex intermittent,1,0,95,106
SL-10,1,convex intermittent,1,0,95,106
SL-10,1,convex intermittent,1,0,150,83
SL-10,2,convex intermittent,0,0,160,106
SL-10,2,convex intermittent,0,0,160,106
SL-10,2,convex intermittent,0,0,105,103
SL-10,1,convex intermittent,0,0,105,103
SL-10,1,convex intermittent,0,0,105,103
SL-10,1,convex intermittent,0,0,160,106
JNAS-1,5,convex intermittent,0,0,280,172
JNAS-1,5,convex intermittent,0,0,280,172
JNAS-1,5,convex intermittent,0,0,185,165
JNAS-1,3,convex intermittent,0,0,290,194
JNAS-1,1,convex intermittent,0,0,205,115
JNAS-1,3,convex intermittent,0,0,185,155
JNAS-1,3,convex intermittent,0,0,185,155
GL-2,4,convex intermittent,0,0,190,105
GL-2,4,convex intermittent,0,0,255,132
GL-2,1,convex intermittent,0,0,240,100
GL-2,4,convex intermittent,0,0,230,128
GL-2,4,convex intermittent,0,0,195,114
GL-2,4,convex intermittent,0,0,195,114
GL-2,4,convex intermittent,0,0,195,114
GL-2,4,convex intermittent,0,0,195,114
GL-2,4,convex intermittent,0,0,195,114
GL-2,4,convex intermittent,0,0,195,114
GL-2,4,convex intermittent,0,0,195,114
FX-2,4,intermittent off,0,0,135,148
FX-2,4,intermittent off,0,0,135,148
FX-2,4,intermittent off,0,0,135,148
FX-2,4,intermittent off,0,0,115,128
FX-3,4,intermittent off,0,0,125,158
FX-3,4,intermittent off,0,0,85,163
FX-3,4,intermittent off,0,0,170,143
FX-3,4,intermittent off,0,0,170,148
SMP-1,6,convex intermittent,1,1,105,141
SMP-1,3,convex intermittent,1,0,230,193
SMP-1,2,convex intermittent,0,0,230,86
SMP-2,6,convex intermittent,0,0,270,152
SMP-3,4,convex intermittent,0,0,215,106
SMP-3,3,convex intermittent,0,0,145,129
